               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.031396,           0.0087504,           0.0040495,             0.99689,                   1,               0.995,             0.58045,            0.029458,           0.0042601,           0.0034222,           0.0076438,           0.0076438,           0.0076438
                 121,            0.030703,            0.011046,           0.0042793,             0.97796,                   1,             0.99423,             0.72092,            0.021061,            0.004089,           0.0035424,            0.007624,            0.007624,            0.007624
                 122,            0.036618,           0.0095205,           0.0044158,             0.99731,                   1,               0.995,             0.72951,            0.023015,           0.0039994,           0.0035106,           0.0076042,           0.0076042,           0.0076042
                 123,            0.027679,           0.0089802,           0.0040153,             0.99746,                   1,               0.995,             0.73049,            0.019901,           0.0040477,           0.0035519,           0.0075844,           0.0075844,           0.0075844
                 124,            0.031341,           0.0088707,           0.0043206,             0.99664,                   1,               0.995,             0.61638,            0.025983,           0.0041219,           0.0033553,           0.0075646,           0.0075646,           0.0075646
                 125,            0.033202,           0.0096083,           0.0044072,             0.99714,                   1,               0.995,               0.776,            0.021435,           0.0040041,           0.0033421,           0.0075448,           0.0075448,           0.0075448
                 126,            0.030988,           0.0084163,            0.003654,             0.99598,                   1,               0.995,             0.60226,            0.027442,           0.0043897,           0.0032703,            0.007525,            0.007525,            0.007525
                 127,            0.033342,            0.007837,           0.0037766,             0.99727,                   1,               0.995,             0.77626,            0.021477,           0.0039853,           0.0033191,           0.0075052,           0.0075052,           0.0075052
                 128,            0.027439,           0.0090882,           0.0038468,             0.99675,                   1,               0.995,              0.6738,            0.023034,           0.0040969,           0.0032428,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034144,           0.0083864,           0.0037771,             0.96773,             0.99568,             0.99346,             0.70893,            0.022698,           0.0041022,           0.0032833,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030866,           0.0096183,           0.0044724,             0.99672,                   1,               0.995,             0.75019,            0.020938,           0.0041008,           0.0032386,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027454,           0.0078119,           0.0037236,             0.96087,             0.99219,             0.97544,             0.65112,            0.027209,           0.0041591,           0.0033727,            0.007426,            0.007426,            0.007426
